id,scanner,material,implants,fov,height,width,frames
386,x800,tizr,1,small,687,740,604
387,x800,zr,3,small,687,740,604
388,x800,zr,2,small,687,740,604
389,x800,zr,1,small,687,740,604
390,x800,,0,small,687,740,604
391,x800,ti,3,large,475,650,604
392,x800,ti,2,large,475,650,604
393,x800,ti,1,large,475,650,604
394,x800,tizr,3,large,475,650,604
395,x800,tizr,2,large,475,650,604
396,x800,tizr,1,large,475,650,604
397,x800,zr,3,large,475,650,604
398,x800,zr,2,large,475,650,604
399,x800,zr,1,large,475,650,604
400,x800,,0,large,475,650,604
